Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-04-29,86,0,86,118343,115859,2484
South West,E12000009,Region,2020-04-29,0,,,6177,,
South East,E12000008,Region,2020-04-29,11,,,16831,,
London,E12000007,Region,2020-04-29,0,,,24297,,
East of England,E12000006,Region,2020-04-29,4,,,10274,,
West Midlands,E12000005,Region,2020-04-29,7,,,12868,,
East Midlands,E12000004,Region,2020-04-29,14,,,6747,,
Yorkshire and The Humber,E12000003,Region,2020-04-29,22,,,10010,,
North West,E12000002,Region,2020-04-29,6,,,18523,,
North East,E12000001,Region,2020-04-29,21,,,7552,,
Worcestershire,E10000034,Upper tier local authority,2020-04-29,0,,,1107,,
West Sussex,E10000032,Upper tier local authority,2020-04-29,0,,,1100,,
Warwickshire,E10000031,Upper tier local authority,2020-04-29,0,,,1141,,
Surrey,E10000030,Upper tier local authority,2020-04-29,0,,,2530,,
Suffolk,E10000029,Upper tier local authority,2020-04-29,0,,,1027,,
Staffordshire,E10000028,Upper tier local authority,2020-04-29,5,,,1697,,
Somerset,E10000027,Upper tier local authority,2020-04-29,0,,,482,,
Oxfordshire,E10000025,Upper tier local authority,2020-04-29,0,,,1540,,
Nottinghamshire,E10000024,Upper tier local authority,2020-04-29,3,,,1089,,
North Yorkshire,E10000023,Upper tier local authority,2020-04-29,0,,,908,,
Northamptonshire,E10000021,Upper tier local authority,2020-04-29,0,,,1019,,
Norfolk,E10000020,Upper tier local authority,2020-04-29,1,,,1481,,
Lincolnshire,E10000019,Upper tier local authority,2020-04-29,0,,,828,,
Leicestershire,E10000018,Upper tier local authority,2020-04-29,3,,,906,,
Lancashire,E10000017,Upper tier local authority,2020-04-29,0,,,2736,,
Kent,E10000016,Upper tier local authority,2020-04-29,0,,,3331,,
Hertfordshire,E10000015,Upper tier local authority,2020-04-29,3,,,2243,,
Hampshire,E10000014,Upper tier local authority,2020-04-29,5,,,2734,,
Gloucestershire,E10000013,Upper tier local authority,2020-04-29,0,,,1181,,
Essex,E10000012,Upper tier local authority,2020-04-29,0,,,2506,,
East Sussex,E10000011,Upper tier local authority,2020-04-29,5,,,570,,
Devon,E10000008,Upper tier local authority,2020-04-29,0,,,686,,
Derbyshire,E10000007,Upper tier local authority,2020-04-29,2,,,1243,,
Cumbria,E10000006,Upper tier local authority,2020-04-29,0,,,1819,,
Cambridgeshire,E10000003,Upper tier local authority,2020-04-29,0,,,722,,
Buckinghamshire,E10000002,Upper tier local authority,2020-04-29,0,,,801,,
Westminster,E09000033,Upper tier local authority,2020-04-29,0,,,592,,
Wandsworth,E09000032,Upper tier local authority,2020-04-29,0,,,909,,
Waltham Forest,E09000031,Upper tier local authority,2020-04-29,0,,,718,,
Tower Hamlets,E09000030,Upper tier local authority,2020-04-29,0,,,597,,
Sutton,E09000029,Upper tier local authority,2020-04-29,0,,,662,,
Southwark,E09000028,Upper tier local authority,2020-04-29,0,,,1179,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-29,0,,,361,,
Redbridge,E09000026,Upper tier local authority,2020-04-29,0,,,667,,
Newham,E09000025,Upper tier local authority,2020-04-29,0,,,943,,
Merton,E09000024,Upper tier local authority,2020-04-29,0,,,641,,
Lewisham,E09000023,Upper tier local authority,2020-04-29,0,,,904,,
Lambeth,E09000022,Upper tier local authority,2020-04-29,0,,,1124,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-29,0,,,443,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-29,0,,,459,,
Islington,E09000019,Upper tier local authority,2020-04-29,0,,,409,,
Hounslow,E09000018,Upper tier local authority,2020-04-29,0,,,637,,
Hillingdon,E09000017,Upper tier local authority,2020-04-29,0,,,717,,
Havering,E09000016,Upper tier local authority,2020-04-29,0,,,631,,
Harrow,E09000015,Upper tier local authority,2020-04-29,0,,,903,,
Haringey,E09000014,Upper tier local authority,2020-04-29,0,,,543,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-29,0,,,605,,
Hackney,E09000012,Upper tier local authority,2020-04-29,0,,,600,,
Greenwich,E09000011,Upper tier local authority,2020-04-29,0,,,623,,
Enfield,E09000010,Upper tier local authority,2020-04-29,0,,,827,,
Ealing,E09000009,Upper tier local authority,2020-04-29,0,,,1044,,
Croydon,E09000008,Upper tier local authority,2020-04-29,0,,,1358,,
Camden,E09000007,Upper tier local authority,2020-04-29,0,,,569,,
Bromley,E09000006,Upper tier local authority,2020-04-29,0,,,1036,,
Brent,E09000005,Upper tier local authority,2020-04-29,0,,,1338,,
Bexley,E09000004,Upper tier local authority,2020-04-29,0,,,608,,
Barnet,E09000003,Upper tier local authority,2020-04-29,0,,,1184,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-04-29,0,,,450,,
City of London,E09000001,Upper tier local authority,2020-04-29,0,,,16,,
Gateshead,E08000037,Upper tier local authority,2020-04-29,12,,,800,,
Wakefield,E08000036,Upper tier local authority,2020-04-29,0,,,512,,
Leeds,E08000035,Upper tier local authority,2020-04-29,0,,,1367,,
Kirklees,E08000034,Upper tier local authority,2020-04-29,3,,,551,,
Calderdale,E08000033,Upper tier local authority,2020-04-29,1,,,238,,
Bradford,E08000032,Upper tier local authority,2020-04-29,2,,,849,,
Wolverhampton,E08000031,Upper tier local authority,2020-04-29,0,,,797,,
Walsall,E08000030,Upper tier local authority,2020-04-29,0,,,934,,
Solihull,E08000029,Upper tier local authority,2020-04-29,0,,,556,,
Sandwell,E08000028,Upper tier local authority,2020-04-29,0,,,957,,
Dudley,E08000027,Upper tier local authority,2020-04-29,0,,,734,,
Coventry,E08000026,Upper tier local authority,2020-04-29,0,,,654,,
Birmingham,E08000025,Upper tier local authority,2020-04-29,0,,,2801,,
Sunderland,E08000024,Upper tier local authority,2020-04-29,4,,,1138,,
South Tyneside,E08000023,Upper tier local authority,2020-04-29,2,,,538,,
North Tyneside,E08000022,Upper tier local authority,2020-04-29,0,,,460,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-29,1,,,884,,
Sheffield,E08000019,Upper tier local authority,2020-04-29,12,,,2093,,
Rotherham,E08000018,Upper tier local authority,2020-04-29,2,,,680,,
Doncaster,E08000017,Upper tier local authority,2020-04-29,0,,,440,,
Barnsley,E08000016,Upper tier local authority,2020-04-29,2,,,622,,
Wirral,E08000015,Upper tier local authority,2020-04-29,0,,,990,,
Sefton,E08000014,Upper tier local authority,2020-04-29,0,,,789,,
St. Helens,E08000013,Upper tier local authority,2020-04-29,0,,,634,,
Liverpool,E08000012,Upper tier local authority,2020-04-29,0,,,1392,,
Knowsley,E08000011,Upper tier local authority,2020-04-29,0,,,532,,
Wigan,E08000010,Upper tier local authority,2020-04-29,0,,,642,,
Trafford,E08000009,Upper tier local authority,2020-04-29,1,,,584,,
Tameside,E08000008,Upper tier local authority,2020-04-29,0,,,451,,
Stockport,E08000007,Upper tier local authority,2020-04-29,2,,,808,,
Salford,E08000006,Upper tier local authority,2020-04-29,0,,,595,,
Rochdale,E08000005,Upper tier local authority,2020-04-29,0,,,434,,
Oldham,E08000004,Upper tier local authority,2020-04-29,0,,,594,,
Manchester,E08000003,Upper tier local authority,2020-04-29,0,,,1060,,
Bury,E08000002,Upper tier local authority,2020-04-29,0,,,457,,
Bolton,E08000001,Upper tier local authority,2020-04-29,0,,,739,,
Dorset,E06000059,Upper tier local authority,2020-04-29,0,,,304,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-29,0,,,404,,
Northumberland,E06000057,Upper tier local authority,2020-04-29,0,,,748,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-29,0,,,471,,
Bedford,E06000055,Upper tier local authority,2020-04-29,0,,,436,,
Wiltshire,E06000054,Upper tier local authority,2020-04-29,0,,,415,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-04-29,0,,,485,,
Shropshire,E06000051,Upper tier local authority,2020-04-29,0,,,479,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-29,0,,,777,,
Cheshire East,E06000049,Upper tier local authority,2020-04-29,2,,,851,,
County Durham,E06000047,Upper tier local authority,2020-04-29,1,,,1340,,
Isle of Wight,E06000046,Upper tier local authority,2020-04-29,0,,,107,,
Southampton,E06000045,Upper tier local authority,2020-04-29,0,,,454,,
Portsmouth,E06000044,Upper tier local authority,2020-04-29,0,,,284,,
Brighton and Hove,E06000043,Upper tier local authority,2020-04-29,0,,,355,,
Milton Keynes,E06000042,Upper tier local authority,2020-04-29,0,,,448,,
Wokingham,E06000041,Upper tier local authority,2020-04-29,0,,,362,,
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-29,0,,,245,,
Slough,E06000039,Upper tier local authority,2020-04-29,0,,,376,,
Reading,E06000038,Upper tier local authority,2020-04-29,0,,,460,,
West Berkshire,E06000037,Upper tier local authority,2020-04-29,1,,,315,,
Bracknell Forest,E06000036,Upper tier local authority,2020-04-29,0,,,209,,
Medway,E06000035,Upper tier local authority,2020-04-29,0,,,610,,
Thurrock,E06000034,Upper tier local authority,2020-04-29,0,,,275,,
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-29,0,,,294,,
Luton,E06000032,Upper tier local authority,2020-04-29,0,,,595,,
Peterborough,E06000031,Upper tier local authority,2020-04-29,0,,,224,,
Swindon,E06000030,Upper tier local authority,2020-04-29,0,,,361,,
Torbay,E06000027,Upper tier local authority,2020-04-29,0,,,202,,
Plymouth,E06000026,Upper tier local authority,2020-04-29,0,,,278,,
South Gloucestershire,E06000025,Upper tier local authority,2020-04-29,0,,,341,,
North Somerset,E06000024,Upper tier local authority,2020-04-29,0,,,231,,
"Bristol, City of",E06000023,Upper tier local authority,2020-04-29,0,,,601,,
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-29,0,,,206,,
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-29,2,,,459,,
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-29,0,,,254,,
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-29,0,,,298,,
Nottingham,E06000018,Upper tier local authority,2020-04-29,6,,,518,,
Rutland,E06000017,Upper tier local authority,2020-04-29,0,,,20,,
Leicester,E06000016,Upper tier local authority,2020-04-29,0,,,648,,
Derby,E06000015,Upper tier local authority,2020-04-29,0,,,476,,
York,E06000014,Upper tier local authority,2020-04-29,0,,,271,,
North Lincolnshire,E06000013,Upper tier local authority,2020-04-29,0,,,350,,
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-29,0,,,134,,
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-29,0,,,567,,
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-29,0,,,428,,
Blackpool,E06000009,Upper tier local authority,2020-04-29,1,,,427,,
Blackburn with Darwen,E06000008,Upper tier local authority,2020-04-29,0,,,306,,
Warrington,E06000007,Upper tier local authority,2020-04-29,0,,,594,,
Halton,E06000006,Upper tier local authority,2020-04-29,0,,,312,,
Darlington,E06000005,Upper tier local authority,2020-04-29,0,,,269,,
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-29,0,,,343,,
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-29,0,,,311,,
Middlesbrough,E06000002,Upper tier local authority,2020-04-29,1,,,541,,
Hartlepool,E06000001,Upper tier local authority,2020-04-29,0,,,180,,
England,E92000001,Nation,2020-04-28,769,54,715,118257,115859,2398
South West,E12000009,Region,2020-04-28,71,,,6177,,
South East,E12000008,Region,2020-04-28,88,,,16820,,
London,E12000007,Region,2020-04-28,48,,,24297,,
East of England,E12000006,Region,2020-04-28,48,,,10270,,
West Midlands,E12000005,Region,2020-04-28,75,,,12861,,
East Midlands,E12000004,Region,2020-04-28,93,,,6733,,
Yorkshire and The Humber,E12000003,Region,2020-04-28,101,,,9988,,
North West,E12000002,Region,2020-04-28,91,,,18517,,
North East,E12000001,Region,2020-04-28,135,,,7531,,
West Sussex,E10000032,Upper tier local authority,2020-04-28,3,,,1100,,
Surrey,E10000030,Upper tier local authority,2020-04-28,2,,,2530,,
Suffolk,E10000029,Upper tier local authority,2020-04-28,5,,,1027,,
Staffordshire,E10000028,Upper tier local authority,2020-04-28,23,,,1692,,
Somerset,E10000027,Upper tier local authority,2020-04-28,5,,,482,,
Oxfordshire,E10000025,Upper tier local authority,2020-04-28,5,,,1540,,
Nottinghamshire,E10000024,Upper tier local authority,2020-04-28,20,,,1086,,
North Yorkshire,E10000023,Upper tier local authority,2020-04-28,5,,,908,,
Norfolk,E10000020,Upper tier local authority,2020-04-28,24,,,1480,,
Lincolnshire,E10000019,Upper tier local authority,2020-04-28,12,,,828,,
Leicestershire,E10000018,Upper tier local authority,2020-04-28,10,,,903,,
Lancashire,E10000017,Upper tier local authority,2020-04-28,8,,,2736,,
Kent,E10000016,Upper tier local authority,2020-04-28,24,,,3331,,
Hertfordshire,E10000015,Upper tier local authority,2020-04-28,14,,,2240,,
Hampshire,E10000014,Upper tier local authority,2020-04-28,26,,,2729,,
Gloucestershire,E10000013,Upper tier local authority,2020-04-28,16,,,1181,,
Essex,E10000012,Upper tier local authority,2020-04-28,4,,,2506,,
East Sussex,E10000011,Upper tier local authority,2020-04-28,19,,,565,,
Devon,E10000008,Upper tier local authority,2020-04-28,3,,,686,,
Derbyshire,E10000007,Upper tier local authority,2020-04-28,25,,,1241,,
Cumbria,E10000006,Upper tier local authority,2020-04-28,6,,,1819,,
Cambridgeshire,E10000003,Upper tier local authority,2020-04-28,1,,,722,,
Westminster,E09000033,Upper tier local authority,2020-04-28,1,,,592,,
Waltham Forest,E09000031,Upper tier local authority,2020-04-28,2,,,718,,
Southwark,E09000028,Upper tier local authority,2020-04-28,2,,,1179,,
Redbridge,E09000026,Upper tier local authority,2020-04-28,3,,,667,,
Newham,E09000025,Upper tier local authority,2020-04-28,2,,,943,,
Lewisham,E09000023,Upper tier local authority,2020-04-28,2,,,904,,
Lambeth,E09000022,Upper tier local authority,2020-04-28,2,,,1124,,
Hounslow,E09000018,Upper tier local authority,2020-04-28,1,,,637,,
Hillingdon,E09000017,Upper tier local authority,2020-04-28,1,,,717,,
Havering,E09000016,Upper tier local authority,2020-04-28,1,,,631,,
Harrow,E09000015,Upper tier local authority,2020-04-28,5,,,903,,
Haringey,E09000014,Upper tier local authority,2020-04-28,2,,,543,,
Greenwich,E09000011,Upper tier local authority,2020-04-28,1,,,623,,
Enfield,E09000010,Upper tier local authority,2020-04-28,2,,,827,,
Ealing,E09000009,Upper tier local authority,2020-04-28,7,,,1044,,
Croydon,E09000008,Upper tier local authority,2020-04-28,3,,,1358,,
Camden,E09000007,Upper tier local authority,2020-04-28,1,,,569,,
Bromley,E09000006,Upper tier local authority,2020-04-28,1,,,1036,,
Brent,E09000005,Upper tier local authority,2020-04-28,4,,,1338,,
Barnet,E09000003,Upper tier local authority,2020-04-28,5,,,1184,,
Gateshead,E08000037,Upper tier local authority,2020-04-28,20,,,788,,
Wakefield,E08000036,Upper tier local authority,2020-04-28,1,,,512,,
Leeds,E08000035,Upper tier local authority,2020-04-28,8,,,1367,,
Kirklees,E08000034,Upper tier local authority,2020-04-28,5,,,548,,
Calderdale,E08000033,Upper tier local authority,2020-04-28,5,,,237,,
Bradford,E08000032,Upper tier local authority,2020-04-28,20,,,847,,
Walsall,E08000030,Upper tier local authority,2020-04-28,2,,,934,,
Sandwell,E08000028,Upper tier local authority,2020-04-28,2,,,957,,
Dudley,E08000027,Upper tier local authority,2020-04-28,11,,,734,,
Coventry,E08000026,Upper tier local authority,2020-04-28,1,,,654,,
Birmingham,E08000025,Upper tier local authority,2020-04-28,2,,,2801,,
Sunderland,E08000024,Upper tier local authority,2020-04-28,20,,,1134,,
South Tyneside,E08000023,Upper tier local authority,2020-04-28,9,,,536,,
North Tyneside,E08000022,Upper tier local authority,2020-04-28,2,,,460,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-28,18,,,883,,
Sheffield,E08000019,Upper tier local authority,2020-04-28,18,,,2081,,
Rotherham,E08000018,Upper tier local authority,2020-04-28,4,,,678,,
Doncaster,E08000017,Upper tier local authority,2020-04-28,1,,,440,,
Barnsley,E08000016,Upper tier local authority,2020-04-28,8,,,620,,
Wirral,E08000015,Upper tier local authority,2020-04-28,3,,,990,,
Sefton,E08000014,Upper tier local authority,2020-04-28,9,,,789,,
St. Helens,E08000013,Upper tier local authority,2020-04-28,3,,,634,,
Liverpool,E08000012,Upper tier local authority,2020-04-28,11,,,1392,,
Knowsley,E08000011,Upper tier local authority,2020-04-28,3,,,532,,
Wigan,E08000010,Upper tier local authority,2020-04-28,4,,,642,,
Trafford,E08000009,Upper tier local authority,2020-04-28,4,,,583,,
Stockport,E08000007,Upper tier local authority,2020-04-28,1,,,806,,
Rochdale,E08000005,Upper tier local authority,2020-04-28,2,,,434,,
Oldham,E08000004,Upper tier local authority,2020-04-28,3,,,594,,
Manchester,E08000003,Upper tier local authority,2020-04-28,5,,,1060,,
Bury,E08000002,Upper tier local authority,2020-04-28,3,,,457,,
Bolton,E08000001,Upper tier local authority,2020-04-28,2,,,739,,
Dorset,E06000059,Upper tier local authority,2020-04-28,1,,,304,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-28,1,,,404,,
Northumberland,E06000057,Upper tier local authority,2020-04-28,7,,,748,,
Wiltshire,E06000054,Upper tier local authority,2020-04-28,7,,,415,,
Shropshire,E06000051,Upper tier local authority,2020-04-28,1,,,479,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-28,7,,,777,,
Cheshire East,E06000049,Upper tier local authority,2020-04-28,13,,,849,,
County Durham,E06000047,Upper tier local authority,2020-04-28,39,,,1339,,
Southampton,E06000045,Upper tier local authority,2020-04-28,3,,,454,,
Portsmouth,E06000044,Upper tier local authority,2020-04-28,2,,,284,,
West Berkshire,E06000037,Upper tier local authority,2020-04-28,1,,,314,,
Medway,E06000035,Upper tier local authority,2020-04-28,3,,,610,,
Swindon,E06000030,Upper tier local authority,2020-04-28,11,,,361,,
Torbay,E06000027,Upper tier local authority,2020-04-28,2,,,202,,
Plymouth,E06000026,Upper tier local authority,2020-04-28,2,,,278,,
South Gloucestershire,E06000025,Upper tier local authority,2020-04-28,1,,,341,,
North Somerset,E06000024,Upper tier local authority,2020-04-28,11,,,231,,
"Bristol, City of",E06000023,Upper tier local authority,2020-04-28,9,,,601,,
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-28,2,,,206,,
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-28,24,,,457,,
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-28,9,,,298,,
Nottingham,E06000018,Upper tier local authority,2020-04-28,6,,,512,,
Leicester,E06000016,Upper tier local authority,2020-04-28,11,,,648,,
Derby,E06000015,Upper tier local authority,2020-04-28,9,,,476,,
York,E06000014,Upper tier local authority,2020-04-28,1,,,271,,
North Lincolnshire,E06000013,Upper tier local authority,2020-04-28,11,,,350,,
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-28,1,,,134,,
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-28,10,,,567,,
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-28,3,,,428,,
Blackpool,E06000009,Upper tier local authority,2020-04-28,3,,,426,,
Warrington,E06000007,Upper tier local authority,2020-04-28,1,,,594,,
Darlington,E06000005,Upper tier local authority,2020-04-28,3,,,269,,
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-28,7,,,311,,
Middlesbrough,E06000002,Upper tier local authority,2020-04-28,9,,,540,,
Hartlepool,E06000001,Upper tier local authority,2020-04-28,1,,,180,,
England,E92000001,Nation,2020-04-27,1675,485,1190,117488,115805,1683
South West,E12000009,Region,2020-04-27,113,,,6106,,
South East,E12000008,Region,2020-04-27,161,,,16732,,
London,E12000007,Region,2020-04-27,162,,,24249,,
East of England,E12000006,Region,2020-04-27,121,,,10222,,
West Midlands,E12000005,Region,2020-04-27,191,,,12786,,
East Midlands,E12000004,Region,2020-04-27,129,,,6640,,
Yorkshire and The Humber,E12000003,Region,2020-04-27,212,,,9887,,
North West,E12000002,Region,2020-04-27,351,,,18426,,
North East,E12000001,Region,2020-04-27,172,,,7396,,
Worcestershire,E10000034,Upper tier local authority,2020-04-27,3,,,1107,,
West Sussex,E10000032,Upper tier local authority,2020-04-27,10,,,1097,,
Warwickshire,E10000031,Upper tier local authority,2020-04-27,28,,,1141,,
Surrey,E10000030,Upper tier local authority,2020-04-27,20,,,2528,,
Suffolk,E10000029,Upper tier local authority,2020-04-27,12,,,1022,,
Staffordshire,E10000028,Upper tier local authority,2020-04-27,29,,,1669,,
Somerset,E10000027,Upper tier local authority,2020-04-27,14,,,477,,
Oxfordshire,E10000025,Upper tier local authority,2020-04-27,19,,,1535,,
Nottinghamshire,E10000024,Upper tier local authority,2020-04-27,32,,,1066,,
North Yorkshire,E10000023,Upper tier local authority,2020-04-27,33,,,903,,
Northamptonshire,E10000021,Upper tier local authority,2020-04-27,11,,,1019,,
Norfolk,E10000020,Upper tier local authority,2020-04-27,50,,,1456,,
Lincolnshire,E10000019,Upper tier local authority,2020-04-27,8,,,816,,
Leicestershire,E10000018,Upper tier local authority,2020-04-27,20,,,893,,
Lancashire,E10000017,Upper tier local authority,2020-04-27,40,,,2728,,
Kent,E10000016,Upper tier local authority,2020-04-27,11,,,3307,,
Hertfordshire,E10000015,Upper tier local authority,2020-04-27,18,,,2226,,
Hampshire,E10000014,Upper tier local authority,2020-04-27,43,,,2703,,
Gloucestershire,E10000013,Upper tier local authority,2020-04-27,24,,,1165,,
Essex,E10000012,Upper tier local authority,2020-04-27,26,,,2502,,
East Sussex,E10000011,Upper tier local authority,2020-04-27,3,,,546,,
Devon,E10000008,Upper tier local authority,2020-04-27,25,,,683,,
Derbyshire,E10000007,Upper tier local authority,2020-04-27,21,,,1216,,
Cumbria,E10000006,Upper tier local authority,2020-04-27,32,,,1813,,
Cambridgeshire,E10000003,Upper tier local authority,2020-04-27,4,,,721,,
Buckinghamshire,E10000002,Upper tier local authority,2020-04-27,9,,,801,,
Westminster,E09000033,Upper tier local authority,2020-04-27,4,,,591,,
Wandsworth,E09000032,Upper tier local authority,2020-04-27,5,,,909,,
Waltham Forest,E09000031,Upper tier local authority,2020-04-27,6,,,716,,
Tower Hamlets,E09000030,Upper tier local authority,2020-04-27,2,,,597,,
Southwark,E09000028,Upper tier local authority,2020-04-27,11,,,1177,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-27,3,,,361,,
Redbridge,E09000026,Upper tier local authority,2020-04-27,7,,,664,,
Newham,E09000025,Upper tier local authority,2020-04-27,4,,,941,,
Lewisham,E09000023,Upper tier local authority,2020-04-27,6,,,902,,
Lambeth,E09000022,Upper tier local authority,2020-04-27,7,,,1122,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-27,7,,,443,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-27,3,,,459,,
Islington,E09000019,Upper tier local authority,2020-04-27,3,,,409,,
Hounslow,E09000018,Upper tier local authority,2020-04-27,2,,,636,,
Hillingdon,E09000017,Upper tier local authority,2020-04-27,6,,,716,,
Havering,E09000016,Upper tier local authority,2020-04-27,8,,,630,,
Harrow,E09000015,Upper tier local authority,2020-04-27,13,,,898,,
Haringey,E09000014,Upper tier local authority,2020-04-27,3,,,541,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-27,2,,,605,,
Hackney,E09000012,Upper tier local authority,2020-04-27,2,,,600,,
Greenwich,E09000011,Upper tier local authority,2020-04-27,2,,,622,,
Enfield,E09000010,Upper tier local authority,2020-04-27,3,,,825,,
Ealing,E09000009,Upper tier local authority,2020-04-27,7,,,1037,,
Croydon,E09000008,Upper tier local authority,2020-04-27,15,,,1355,,
Camden,E09000007,Upper tier local authority,2020-04-27,1,,,568,,
Bromley,E09000006,Upper tier local authority,2020-04-27,12,,,1035,,
Brent,E09000005,Upper tier local authority,2020-04-27,4,,,1334,,
Bexley,E09000004,Upper tier local authority,2020-04-27,7,,,608,,
Barnet,E09000003,Upper tier local authority,2020-04-27,5,,,1179,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-04-27,2,,,450,,
Gateshead,E08000037,Upper tier local authority,2020-04-27,16,,,768,,
Wakefield,E08000036,Upper tier local authority,2020-04-27,14,,,511,,
Leeds,E08000035,Upper tier local authority,2020-04-27,40,,,1359,,
Kirklees,E08000034,Upper tier local authority,2020-04-27,13,,,543,,
Calderdale,E08000033,Upper tier local authority,2020-04-27,3,,,232,,
Bradford,E08000032,Upper tier local authority,2020-04-27,32,,,827,,
Wolverhampton,E08000031,Upper tier local authority,2020-04-27,22,,,797,,
Walsall,E08000030,Upper tier local authority,2020-04-27,13,,,932,,
Solihull,E08000029,Upper tier local authority,2020-04-27,3,,,556,,
Sandwell,E08000028,Upper tier local authority,2020-04-27,17,,,955,,
Dudley,E08000027,Upper tier local authority,2020-04-27,3,,,723,,
Coventry,E08000026,Upper tier local authority,2020-04-27,4,,,653,,
Birmingham,E08000025,Upper tier local authority,2020-04-27,10,,,2799,,
Sunderland,E08000024,Upper tier local authority,2020-04-27,15,,,1114,,
South Tyneside,E08000023,Upper tier local authority,2020-04-27,25,,,527,,
North Tyneside,E08000022,Upper tier local authority,2020-04-27,8,,,458,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-27,13,,,865,,
Sheffield,E08000019,Upper tier local authority,2020-04-27,10,,,2063,,
Rotherham,E08000018,Upper tier local authority,2020-04-27,5,,,674,,
Doncaster,E08000017,Upper tier local authority,2020-04-27,1,,,439,,
Wirral,E08000015,Upper tier local authority,2020-04-27,16,,,987,,
Sefton,E08000014,Upper tier local authority,2020-04-27,9,,,780,,
St. Helens,E08000013,Upper tier local authority,2020-04-27,15,,,631,,
Liverpool,E08000012,Upper tier local authority,2020-04-27,24,,,1381,,
Knowsley,E08000011,Upper tier local authority,2020-04-27,12,,,529,,
Wigan,E08000010,Upper tier local authority,2020-04-27,24,,,638,,
Trafford,E08000009,Upper tier local authority,2020-04-27,10,,,579,,
Tameside,E08000008,Upper tier local authority,2020-04-27,5,,,451,,
Stockport,E08000007,Upper tier local authority,2020-04-27,13,,,805,,
Salford,E08000006,Upper tier local authority,2020-04-27,13,,,595,,
Rochdale,E08000005,Upper tier local authority,2020-04-27,10,,,432,,
Oldham,E08000004,Upper tier local authority,2020-04-27,10,,,591,,
Manchester,E08000003,Upper tier local authority,2020-04-27,11,,,1055,,
Bury,E08000002,Upper tier local authority,2020-04-27,17,,,454,,
Bolton,E08000001,Upper tier local authority,2020-04-27,5,,,737,,
Dorset,E06000059,Upper tier local authority,2020-04-27,3,,,303,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-27,2,,,403,,
Northumberland,E06000057,Upper tier local authority,2020-04-27,11,,,741,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-27,1,,,471,,
Wiltshire,E06000054,Upper tier local authority,2020-04-27,3,,,408,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-04-27,11,,,485,,
Shropshire,E06000051,Upper tier local authority,2020-04-27,12,,,478,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-27,20,,,770,,
Cheshire East,E06000049,Upper tier local authority,2020-04-27,25,,,836,,
County Durham,E06000047,Upper tier local authority,2020-04-27,28,,,1300,,
Isle of Wight,E06000046,Upper tier local authority,2020-04-27,4,,,107,,
Southampton,E06000045,Upper tier local authority,2020-04-27,9,,,451,,
Portsmouth,E06000044,Upper tier local authority,2020-04-27,7,,,282,,
Milton Keynes,E06000042,Upper tier local authority,2020-04-27,5,,,448,,
